	description	short_description
PF10417	C-terminal domain of 1-Cys peroxiredoxin	1-cysPrx_C
PF12574	120 KDa Rickettsia surface antigen	120_Rick_ant
PF00244	14-3-3 protein	14-3-3
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	2-Hacid_dh
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2-oxoacid_dh
PF04029	2-phosphosulpholactate phosphatase	2-ph_phosp
PF05635	23S rRNA-intervening sequence protein	23S_rRNA_IVP
PF08521	Two-component sensor kinase N-terminal	2CSK_N
PF08793	2-cysteine adaptor domain	2C_adapt
PF11591	Ferredoxin chloroplastic transit peptide	2Fe-2S_Ferredox
PF01257	Thioredoxin-like [2Fe-2S] ferredoxin	2Fe-2S_thioredx
PF08975	Domain of unknown function (DUF1868)	2H-phosphodiest
PF03390	2-hydroxycarboxylate transporter family	2HCT
PF03171	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy
PF13532	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy_2
PF13640	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy_3
PF13661	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy_4
PF13759	Putative 2OG-Fe(II) oxygenase	2OG-FeII_Oxy_5
PF10014	2OG-Fe dioxygenase	2OG-Fe_Oxy_2
PF13239	2TM domain	2TM
PF13563	2'-5' RNA ligase superfamily	2_5_RNA_ligase2
PF03475	3-alpha domain	3-alpha
PF06983	3-demethylubiquinone-9 3-methyltransferase	3-dmu-9_3-mt
PF06052	3-hydroxyanthranilic acid dioxygenase	3-HAO
PF12578	Myotubularin-associated protein	3-PAP
PF00803	3A/RNA2 movement protein family	3A
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family	3Beta_HSD
PF06725	3D domain	3D
PF02829	3H domain	3H
PF10605	3HB-oligomer hydrolase (3HBOH)	3HBOH
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	3HCDH
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	3HCDH_N
PF04419	4F5 protein family	4F5
PF03061	Thioesterase superfamily	4HBT
PF13279	Thioesterase-like superfamily	4HBT_2
PF13622	Thioesterase-like superfamily	4HBT_3
PF12729	Four helix bundle sensory module for signal transduction	4HB_MCP_1
PF05902	4.1 protein C-terminal domain (CTD)	4_1_CTD
PF01812	5-formyltetrahydrofolate cyclo-ligase family	5-FTHF_cyc-lig
PF06189	5'-nucleotidase	5-nucleotidase
PF09038	Tumour suppressor p53-binding protein-1 Tudor	53-BP1_Tudor
PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus	5HT_transporter
