	weimann	konietzny	extended
101510	0	0	0
1041826	?	?	0
110662	0	0	0
1122176	?	?	0
1122179	?	?	0
1140	0	0	0
1177927	?	?	1
123214	0	0	0
156889	0	0	0
176299	0	0	0
177439	0	0	0
178306	0	0	0
188937	0	0	0
190192	0	0	0
203119	1	1	1
203122	1	1	1
224325	0	0	0
226186	?	?	0
228410	0	0	0
243159	0	0	0
243164	0	0	0
243365	0	0	0
246199	?	1	1
259564	0	0	0
264203	0	0	0
266835	0	0	0
269796	0	0	0
269798	1	1	1
269800	1	1	1
272559	?	?	0
272562	?	1	1
272564	0	0	0
272844	0	0	0
290340	0	0	0
292415	0	0	0
293826	0	0	0
309799	?	?	0
317025	0	0	0
318586	0	0	0
322159	0	0	0
322710	0	0	0
323097	0	0	0
323261	0	0	0
323848	0	0	0
324602	0	0	0
326298	0	0	0
326424	0	0	0
330779	0	0	0
335541	0	0	0
338969	0	0	0
339860	0	0	0
347834	0	0	0
349161	0	0	0
351348	0	0	0
351607	1	1	1
351627	?	1	1
357809	1	1	1
362948	0	0	0
365044	0	0	0
366394	0	0	0
368407	0	0	0
369723	?	?	0
370438	0	0	0
377629	1	1	1
385957	?	?	1
391037	?	?	0
393595	0	0	0
394503	1	1	1
395963	0	0	0
395965	0	0	0
396588	0	0	0
399549	0	0	0
399739	0	0	0
399795	0	0	0
402881	0	0	0
404380	0	0	0
410358	0	0	0
415426	0	0	0
416591	0	0	0
420247	0	0	0
420662	0	0	0
436308	0	0	0
438753	0	0	0
439235	0	0	0
43989	0	0	0
446462	?	?	1
446466	1	1	1
446470	?	?	1
446471	1	1	1
448385	?	?	1
452471	0	0	0
457428	?	?	1
471855	0	0	0
471856	?	?	1
478749	1	1	1
479430	?	?	1
479433	?	?	1
485915	0	0	0
485918	?	?	0
498211	1	1	1
507522	0	0	0
509191	?	1	1
509192	?	?	0
515619	?	?	0
515622	?	?	0
515635	1	1	1
521460	1	1	1
525897	0	0	0
525898	0	0	0
525909	0	0	0
535289	0	0	0
537012	?	1	1
557760	0	0	0
56780	0	0	0
573061	?	1	1
573064	0	0	0
588581	?	1	1
590998	?	?	1
591167	?	1	1
59374	1	1	1
593907	?	?	1
598659	0	0	0
608506	?	1	1
62928	0	0	0
632292	?	1	1
632335	?	1	1
632348	?	1	1
632516	?	1	1
632518	?	1	1
633697	?	1	1
634452	0	0	0
63737	0	0	0
641112	1	1	1
642492	?	1	1
649349	?	?	0
665571	?	1	1
665577	?	?	1
697329	?	1	1
720554	?	?	1
744872	?	?	0
869211	?	1	1
87626	?	?	0
979226	?	?	0
