	0.05_0	0.07_0	0.1_0	0.02_0	1_0
PF10417	0.000	0.000	0.000	0.000	0.000
PF12574	0.000	0.000	0.000	0.000	0.000
PF00244	0.000	0.000	0.000	0.000	0.000
PF00389	0.000	0.000	0.000	0.000	0.000
PF02826	0.000	0.000	0.000	0.000	0.000
PF00198	0.000	0.000	0.000	0.000	0.000
PF04029	0.000	0.000	0.000	0.000	0.000
PF05635	0.000	0.000	0.000	0.000	0.000
PF08521	0.000	0.000	0.000	0.000	0.000
PF08793	0.000	0.000	0.000	0.000	0.000
PF11591	0.000	0.000	0.000	0.000	0.000
PF01257	0.000	0.000	0.000	0.000	0.000
PF08975	0.000	0.000	0.000	0.000	0.000
PF03390	0.000	0.000	0.000	0.000	0.000
PF03171	0.000	0.000	0.000	0.000	0.000
PF13532	0.000	0.000	0.000	0.000	0.000
PF13640	0.000	0.000	0.000	0.000	0.000
PF13661	0.000	0.000	0.000	0.000	0.000
PF13759	0.000	0.000	0.000	0.000	0.000
PF10014	0.000	0.000	0.000	0.000	0.000
PF13239	0.000	0.000	0.000	0.000	0.000
PF13563	0.000	0.000	0.000	0.000	0.000
PF03475	0.000	0.000	0.000	0.000	0.000
PF06983	0.000	0.000	0.000	0.000	0.023
PF06052	0.000	0.000	0.000	0.000	0.000
PF12578	0.000	0.000	0.000	0.000	0.000
PF00803	0.000	0.000	0.000	0.000	0.000
PF01073	0.000	0.000	0.000	0.000	0.000
PF06725	0.000	0.000	0.000	0.000	0.000
PF02829	0.000	0.000	0.000	0.000	0.000
PF10605	0.000	0.000	0.000	0.000	0.000
PF00725	0.000	0.000	0.000	0.000	0.000
PF02737	0.000	0.000	0.000	0.000	0.000
PF04419	0.000	0.000	0.000	0.000	0.000
PF03061	0.000	0.000	0.000	0.000	0.000
PF13279	0.000	0.000	0.000	0.000	0.000
PF13622	0.000	0.000	0.000	0.000	0.000
PF12729	0.000	0.000	0.000	0.000	0.000
PF05902	0.000	0.000	0.000	0.000	0.000
PF01812	0.000	0.000	0.000	0.000	0.000
PF06189	0.000	0.000	0.000	0.000	0.000
PF09038	0.000	0.000	0.000	0.000	0.000
PF03491	0.000	0.000	0.000	0.000	0.000
PF07694	0.000	0.000	0.000	0.000	0.000
PF01367	0.000	0.000	0.000	0.000	0.000
PF02739	0.000	0.000	0.000	0.000	0.000
PF05761	0.000	0.000	0.000	0.000	0.000
PF02872	0.000	0.000	0.000	0.000	0.000
PF02096	0.000	0.000	0.000	0.000	0.000
PF01591	0.000	0.000	0.000	0.000	0.000
PF00393	0.000	0.000	0.000	0.000	0.000
PF02495	0.000	0.000	0.000	0.000	0.000
PF02294	0.000	0.000	0.000	0.000	0.000
PF07698	0.000	0.000	0.000	0.000	0.000
PF07696	0.000	0.000	0.000	0.000	0.000
PF07695	0.000	0.000	0.000	0.000	0.000
PF07697	0.000	0.000	0.000	0.000	0.000
PF00001	0.000	0.000	0.000	0.000	0.000
PF00002	0.000	0.000	0.000	0.000	0.000
PF00003	0.000	0.000	0.000	0.000	0.000
PF13853	0.000	0.000	0.000	0.000	0.000
PF02949	0.000	0.000	0.000	0.000	0.000
PF08395	0.000	0.000	0.000	0.000	0.000
PF02117	0.000	0.000	0.000	0.000	0.000
PF10292	0.000	0.000	0.000	0.000	0.000
PF02175	0.000	0.000	0.000	0.000	0.000
PF10316	0.000	0.000	0.000	0.000	0.000
PF10317	0.000	0.000	0.000	0.000	0.000
PF10318	0.000	0.000	0.000	0.000	0.000
PF10327	0.000	0.000	0.000	0.000	0.000
PF10319	0.000	0.000	0.000	0.000	0.000
PF10320	0.000	0.000	0.000	0.000	0.000
PF10321	0.000	0.000	0.000	0.000	0.000
PF10322	0.000	0.000	0.000	0.000	0.000
PF10323	0.000	0.000	0.000	0.000	0.000
PF10324	0.000	0.000	0.000	0.000	0.000
PF10328	0.000	0.000	0.000	0.000	0.000
PF10325	0.000	0.000	0.000	0.000	0.000
PF10326	0.000	0.000	0.000	0.000	0.000
PF14402	0.000	0.000	0.000	0.000	0.000
PF07388	0.000	0.000	0.000	0.000	0.000
PF07966	0.000	0.000	0.000	0.000	0.000
PF08792	0.000	0.000	0.000	0.000	0.000
PF00207	0.000	0.000	0.000	0.000	0.000
PF07678	0.000	0.000	0.000	0.000	0.000
PF01835	0.000	0.000	0.000	0.000	0.000
PF07703	0.000	0.000	0.000	0.000	0.000
PF07677	0.000	0.000	0.000	0.000	0.000
PF00004	0.000	0.000	0.000	0.000	0.000
PF09820	0.000	0.000	0.000	0.000	0.000
PF12846	0.000	0.000	0.000	0.000	0.000
PF13086	0.000	0.000	0.000	0.000	0.000
PF13087	0.000	0.000	0.000	0.000	0.000
PF13166	0.000	0.000	0.000	0.000	0.000
PF13173	0.000	0.000	0.000	0.000	0.000
PF13175	0.000	0.000	0.000	0.000	-0.079
PF13191	0.000	0.000	0.000	0.000	0.000
PF13207	0.000	0.000	0.000	0.000	0.000
PF13238	0.000	0.000	0.000	0.000	0.000
PF13245	0.000	0.000	0.000	0.000	0.000
PF07724	0.000	0.000	0.000	0.000	0.000
PF13304	0.000	0.000	0.000	0.000	0.000
PF13401	0.000	0.000	0.000	0.000	0.000
PF13476	0.000	0.000	0.000	0.000	0.000
PF13479	0.000	0.000	0.000	0.000	0.000
PF13481	0.000	0.000	0.000	0.000	0.000
PF13500	0.000	0.000	0.000	0.000	0.000
PF13514	0.000	0.000	0.000	0.000	0.000
PF13521	0.000	0.000	-0.018	0.000	-0.081
PF13555	0.000	0.000	0.000	0.000	0.000
PF07726	0.000	0.000	0.000	0.000	0.000
PF13604	0.000	0.000	0.000	0.000	0.000
PF13614	0.000	0.000	0.000	0.000	0.000
PF13654	0.000	0.000	0.000	0.000	0.000
PF13671	0.000	0.000	0.000	0.000	0.000
PF13872	0.000	0.000	0.000	0.000	0.000
PF14516	0.000	0.000	0.000	0.000	0.000
PF04326	0.000	0.000	0.000	0.000	0.000
PF07728	0.000	0.000	0.000	0.000	0.000
PF12774	0.000	0.000	0.000	0.000	0.000
PF12775	0.000	0.000	0.000	0.000	0.000
PF12780	0.000	0.000	0.000	0.000	0.000
PF12781	0.000	0.000	0.000	0.000	0.000
PF14363	0.000	0.000	0.000	0.000	0.000
PF09821	0.000	0.000	0.000	0.000	0.000
PF08298	0.000	0.000	0.000	0.000	0.000
PF04611	0.000	0.000	0.000	0.000	0.000
PF03306	0.000	0.000	0.000	0.000	0.000
PF05282	0.000	0.000	0.000	0.000	0.000
PF08142	0.000	0.000	0.000	0.000	0.000
PF03417	0.000	0.000	0.000	0.000	0.000
PF07247	0.000	0.000	0.000	0.000	0.000
PF13339	0.000	0.000	0.000	0.000	0.000
PF00696	0.000	0.000	0.000	0.000	0.000
PF00324	0.000	0.000	0.000	0.000	0.000
PF13520	0.000	0.000	0.000	0.000	0.000
PF13906	0.000	0.000	0.000	0.000	0.000
