	name
101510	Rhodococcus jostii RHA1
1041826	Flavobacterium columnare ATCC 49512
110662	Synechococcus sp. CC9605
1140	Synechococcus elongatus PCC 7942
1177927	Enterobacter cloacae subsp. cloacae GS1
123214	Persephonella marina EX-H1
156889	Magnetococcus marinus MC-1
176299	Agrobacterium fabrum str. C58
177439	Desulfotalea psychrophila LSv54
178306	Pyrobaculum aerophilum str. IM2
187272	Alkalilimnicola ehrlichii MLHE-1
188937	Methanosarcina acetivorans C2A
190192	Methanopyrus kandleri AV19
203119	Clostridium thermocellum ATCC 27405
203122	Saccharophagus degradans 2-40
224325	Archaeoglobus fulgidus DSM 4304
226186	Bacteroides thetaiotaomicron VPI-5482
228410	Nitrosomonas europaea ATCC 19718
243159	Acidithiobacillus ferrooxidans ATCC 23270
243164	Dehalococcoides ethenogenes 195
243365	Chromobacterium violaceum ATCC 12472
246199	Ruminococcus albus 8
259564	Methanococcoides burtonii DSM 6242
264203	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
266835	Mesorhizobium loti MAFF303099
269796	Rhodospirillum rubrum ATCC 11170
269798	Cytophaga hutchinsonii ATCC 33406
269800	Thermobifida fusca YX
272559	Bacteroides fragilis NCTC 9343
272562	Clostridium acetobutylicum ATCC 824
272564	Desulfitobacterium hafniense DCB-2
272844	Pyrococcus abyssi GE5
290340	Arthrobacter aurescens TC1
292415	Thiobacillus denitrificans ATCC 25259
293826	Alkaliphilus metalliredigens QYMF
309799	Dictyoglomus thermophilum H-6-12
317025	Thiomicrospira crunogena XCL-2
318586	Paracoccus denitrificans PD1222
322159	Streptococcus thermophilus LMD-9
322710	Azotobacter vinelandii DJ
323097	Nitrobacter hamburgensis X14
323261	Nitrosococcus oceani ATCC 19707
323848	Nitrosospira multiformis ATCC 25196
324602	Chloroflexus aurantiacus J-10-fl
326298	Sulfurimonas denitrificans DSM 1251
326424	Frankia alni ACN14a
330779	Sulfolobus acidocaldarius DSM 639
335541	Syntrophomonas wolfei subsp. wolfei str. Goettingen
338969	Rhodoferax ferrireducens T118
339860	Methanosphaera stadtmanae DSM 3091
347834	Rhizobium etli CFN 42
349161	Desulfotomaculum reducens MI-1
351348	Marinobacter aquaeolei VT8
351607	Acidothermus cellulolyticus 11B
351627	Caldicellulosiruptor saccharolyticus DSM 8903
357809	Clostridium phytofermentans ISDg
362948	Lactobacillus salivarius UCC118
365044	Polaromonas naphthalenivorans CJ2
366394	Sinorhizobium medicae WSM419
368407	Methanoculleus marisnigri JR1
369723	Salinispora tropica CNB-440
370438	Pelotomaculum thermopropionicum SI
377629	Teredinibacter turnerae T7901
391037	Salinispora arenicola CNS-205
393595	Alcanivorax borkumensis SK2
394503	Clostridium cellulolyticum H10
395963	Beijerinckia indica subsp. indica ATCC 9039
395965	Methylocella silvestris BL2
396588	Thioalkalivibrio sulfidophilus HL-EbGr7
399549	Metallosphaera sedula DSM 5348
399739	Pseudomonas mendocina ymp
