sample_file_name	sample_name
1123034.3.RefSeq.faa	Psychrobacter phenylpyruvicus DSM 7000
477974.6.RefSeq.faa	Candidatus Desulforudis audaxviator MP104C
984241.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318
984240.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278
543302.3.RefSeq.faa	Alicyclobacillus acidocaldarius LAA1
1169248.3.RefSeq.faa	Enterococcus faecalis Merz192
1169249.3.RefSeq.faa	Enterococcus faecalis Merz204
1266070.3.RefSeq.faa	Streptococcus agalactiae SS1014
1169242.3.RefSeq.faa	Brucella suis F8/06-1
1169243.3.RefSeq.faa	Brucella suis F8/06-3
1169240.3.RefSeq.faa	Brucella suis F7/06-2
1169241.3.RefSeq.faa	Brucella suis F7/06-5
888741.3.RefSeq.faa	Kingella denitrificans ATCC 33394
1169247.3.RefSeq.faa	Enterococcus faecalis D1
1169244.3.RefSeq.faa	Brucella suis F9/06-1
1169245.3.RefSeq.faa	Enterococcus faecalis A-2-1
1260363.4.RefSeq.faa	Enterococcus faecalis 02-MB-BW-10
1260362.4.RefSeq.faa	Enterococcus faecalis D811610-10
882097.3.RefSeq.faa	Listeria monocytogenes SLCC2376
1260361.4.RefSeq.faa	Enterococcus faecalis B83616-1
351348.9.RefSeq.faa	Marinobacter aquaeolei VT8
1260360.4.RefSeq.faa	Enterococcus faecalis 06-MB-S-10
1422260.3.RefSeq.faa	Staphylococcus aureus DAR1941
1422261.3.RefSeq.faa	Staphylococcus aureus DAR1942
1260366.4.RefSeq.faa	Enterococcus faecalis KI-6-1-110608-1
904751.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21275
904750.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21272
904753.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21282
1413589.3.RefSeq.faa	Staphylococcus aureus 36P1
904754.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21283
904759.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21305
904758.3.RefSeq.faa	Staphylococcus aureus subsp. aureus 21304
443144.3.RefSeq.faa	Geobacter sp. M21
1249526.3.RefSeq.faa	Mannheimia haemolytica USDA-ARS-USMARC-185
1116073.3.RefSeq.faa	Escherichia coli P0302293.2
1116072.3.RefSeq.faa	Escherichia coli P0301867.11
1116071.3.RefSeq.faa	Escherichia coli P0301867.8
1116070.3.RefSeq.faa	Escherichia coli P0301867.7
1116077.3.RefSeq.faa	Escherichia coli P0302293.8
1116076.3.RefSeq.faa	Escherichia coli P0302293.6
1116075.3.RefSeq.faa	Escherichia coli P0302293.4
1116074.3.RefSeq.faa	Escherichia coli P0302293.3
1244151.4.RefSeq.faa	Enterococcus faecium OC2A-1
1116079.3.RefSeq.faa	Escherichia coli P0302293.10
1116078.3.RefSeq.faa	Escherichia coli P0302293.9
869209.3.RefSeq.faa	Treponema succinifaciens DSM 2489
1284819.3.RefSeq.faa	Klebsiella pneumoniae UHKPC45
1284818.4.RefSeq.faa	Klebsiella pneumoniae UHKPC179
82995.4.RefSeq.faa	Serratia grimesii
82996.9.RefSeq.faa	Serratia plymuthica
1284813.3.RefSeq.faa	Klebsiella pneumoniae UHKPC27
1284812.3.RefSeq.faa	Klebsiella pneumoniae UHKPC81
1284811.3.RefSeq.faa	Klebsiella pneumoniae UHKPC01
1284810.3.RefSeq.faa	Klebsiella pneumoniae UHKPC09
1284817.3.RefSeq.faa	Klebsiella pneumoniae UHKPC57
1284816.3.RefSeq.faa	Klebsiella pneumoniae UHKPC26
1284815.3.RefSeq.faa	Klebsiella pneumoniae UHKPC24
1284814.3.RefSeq.faa	Klebsiella pneumoniae UHKPC 52
1227811.3.RefSeq.faa	Bacillus pumilus BA06
1210519.3.RefSeq.faa	Francisella tularensis subsp. tularensis 80700103
1210518.3.RefSeq.faa	Francisella tularensis subsp. tularensis 70102010
